Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1540853494684,1472626998,call,C : available Semaphore permits now: 2,318689414,class java.lang.String,java.lang.StringBuilder.toString,5,0,NA,NA
1540853494684,1472626998,return,C : available Semaphore permits now: 2,318689414,NA,NA,NA,NA,NA,NA
1540853494684,1377740801,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,5,1,java.lang.String,C : available Semaphore permits now: 2
1540853494684,1377740801,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853489671,914179924,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853494674,311874130,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853495674,1336629303,call,NA,NA,void,java.lang.System.out,3,0,NA,NA
1540853495674,1336629303,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853495674,145625867,call,Thread[Thread-5(comma)5(comma)main],205797316,void,SemaphoreTest$MyATMThread.name,3,0,NA,NA
1540853495674,145625867,return,F,205797316,NA,NA,NA,NA,NA,NA
1540853495674,920621303,call,NA,NA,class java.lang.String,java.lang.String.valueOf,3,1,java.lang.String,F
1540853495674,920621303,return,F,0,NA,NA,NA,NA,NA,NA
1540853495674,310366268,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,3,1,java.lang.String,F
1540853495674,310366268,return,F,0,NA,NA,NA,NA,NA,NA
1540853495674,117459108,call,F,2135827716,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String, : is performing operation 
1540853495674,117459108,return,F : is performing operation ,2135827716,NA,NA,NA,NA,NA,NA
1540853495674,903629362,call,F : is performing operation ,2135827716,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,2
1540853495674,903629362,return,F : is performing operation 2,2135827716,NA,NA,NA,NA,NA,NA
1540853495674,1498317445,call,F : is performing operation 2,2135827716,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String,(comma) available Semaphore permits : 
1540853495674,1498317445,return,F : is performing operation 2(comma) available Semaphore permits : ,2135827716,NA,NA,NA,NA,NA,NA
1540853495674,1552852064,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,3,0,NA,NA
1540853495674,1552852064,return,java.util.concurrent.Semaphore@3feba861[Permits = 2],0,NA,NA,NA,NA,NA,NA
1540853495674,1382472944,call,java.util.concurrent.Semaphore@3feba861[Permits = 2],1072408673,int,java.util.concurrent.Semaphore.availablePermits,3,0,NA,NA
1540853495674,1382472944,return,2,1072408673,NA,NA,NA,NA,NA,NA
1540853495674,87851348,call,F : is performing operation 2(comma) available Semaphore permits : ,2135827716,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,2
1540853495674,87851348,return,F : is performing operation 2(comma) available Semaphore permits : 2,2135827716,NA,NA,NA,NA,NA,NA
1540853495674,676028892,call,F : is performing operation 2(comma) available Semaphore permits : 2,2135827716,class java.lang.String,java.lang.StringBuilder.toString,3,0,NA,NA
1540853495674,676028892,return,F : is performing operation 2(comma) available Semaphore permits : 2,2135827716,NA,NA,NA,NA,NA,NA
1540853495674,21986577,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,3,1,java.lang.String,F : is performing operation 2(comma) available Semaphore permits : 2
1540853495674,21986577,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853495674,1705681044,call,NA,NA,void,java.lang.Thread.sleep,3,1,java.lang.Long,1000
1540853494676,11291904,return,NA,0,NA,NA,NA,NA,NA,NA
1540853495676,1312461359,call,NA,NA,void,java.lang.System.out,3,0,NA,NA
1540853495676,1312461359,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853495676,573015062,call,Thread[Thread-3(comma)5(comma)main],854731685,void,SemaphoreTest$MyATMThread.name,3,0,NA,NA
1540853495676,573015062,return,D,854731685,NA,NA,NA,NA,NA,NA
1540853495676,826240456,call,NA,NA,class java.lang.String,java.lang.String.valueOf,3,1,java.lang.String,D
1540853495676,826240456,return,D,0,NA,NA,NA,NA,NA,NA
1540853495676,1394205346,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,3,1,java.lang.String,D
1540853495676,1394205346,return,D,0,NA,NA,NA,NA,NA,NA
1540853495676,1235794180,call,D,1462866707,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String, : is performing operation 
1540853495676,1235794180,return,D : is performing operation ,1462866707,NA,NA,NA,NA,NA,NA
1540853495676,497739024,call,D : is performing operation ,1462866707,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,2
1540853495676,497739024,return,D : is performing operation 2,1462866707,NA,NA,NA,NA,NA,NA
1540853495676,28969205,call,D : is performing operation 2,1462866707,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String,(comma) available Semaphore permits : 
1540853495676,28969205,return,D : is performing operation 2(comma) available Semaphore permits : ,1462866707,NA,NA,NA,NA,NA,NA
1540853495676,223797599,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,3,0,NA,NA
1540853495676,223797599,return,java.util.concurrent.Semaphore@3feba861[Permits = 2],0,NA,NA,NA,NA,NA,NA
1540853495676,1445217005,call,java.util.concurrent.Semaphore@3feba861[Permits = 2],1072408673,int,java.util.concurrent.Semaphore.availablePermits,3,0,NA,NA
1540853495676,1445217005,return,2,1072408673,NA,NA,NA,NA,NA,NA
1540853495676,476888924,call,D : is performing operation 2(comma) available Semaphore permits : ,1462866707,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,2
1540853495676,476888924,return,D : is performing operation 2(comma) available Semaphore permits : 2,1462866707,NA,NA,NA,NA,NA,NA
1540853495676,1304486276,call,D : is performing operation 2(comma) available Semaphore permits : 2,1462866707,class java.lang.String,java.lang.StringBuilder.toString,3,0,NA,NA
1540853495676,1304486276,return,D : is performing operation 2(comma) available Semaphore permits : 2,1462866707,NA,NA,NA,NA,NA,NA
1540853495676,1999023482,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,3,1,java.lang.String,D : is performing operation 2(comma) available Semaphore permits : 2
1540853495676,1999023482,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853495676,65120857,call,NA,NA,void,java.lang.Thread.sleep,3,1,java.lang.Long,1000
1540853495674,1705681044,return,NA,0,NA,NA,NA,NA,NA,NA
1540853496675,83737428,call,NA,NA,void,java.lang.System.out,3,0,NA,NA
1540853496675,83737428,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853496675,2001436566,call,Thread[Thread-5(comma)5(comma)main],205797316,void,SemaphoreTest$MyATMThread.name,3,0,NA,NA
1540853496675,2001436566,return,F,205797316,NA,NA,NA,NA,NA,NA
1540853496675,227947419,call,NA,NA,class java.lang.String,java.lang.String.valueOf,3,1,java.lang.String,F
1540853496675,227947419,return,F,0,NA,NA,NA,NA,NA,NA
1540853496675,1023970493,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,3,1,java.lang.String,F
1540853496675,1023970493,return,F,0,NA,NA,NA,NA,NA,NA
1540853496675,1422305107,call,F,2027804050,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String, : is performing operation 
1540853496675,1422305107,return,F : is performing operation ,2027804050,NA,NA,NA,NA,NA,NA
1540853496675,1156262905,call,F : is performing operation ,2027804050,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,3
1540853496675,1156262905,return,F : is performing operation 3,2027804050,NA,NA,NA,NA,NA,NA
1540853496675,1031748285,call,F : is performing operation 3,2027804050,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String,(comma) available Semaphore permits : 
1540853496675,1031748285,return,F : is performing operation 3(comma) available Semaphore permits : ,2027804050,NA,NA,NA,NA,NA,NA
1540853496675,1558380158,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,3,0,NA,NA
1540853496675,1558380158,return,java.util.concurrent.Semaphore@3feba861[Permits = 2],0,NA,NA,NA,NA,NA,NA
1540853496675,1250279733,call,java.util.concurrent.Semaphore@3feba861[Permits = 2],1072408673,int,java.util.concurrent.Semaphore.availablePermits,3,0,NA,NA
1540853496675,1250279733,return,2,1072408673,NA,NA,NA,NA,NA,NA
1540853496675,1470930815,call,F : is performing operation 3(comma) available Semaphore permits : ,2027804050,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,2
1540853496675,1470930815,return,F : is performing operation 3(comma) available Semaphore permits : 2,2027804050,NA,NA,NA,NA,NA,NA
1540853496675,331546085,call,F : is performing operation 3(comma) available Semaphore permits : 2,2027804050,class java.lang.String,java.lang.StringBuilder.toString,3,0,NA,NA
1540853496675,331546085,return,F : is performing operation 3(comma) available Semaphore permits : 2,2027804050,NA,NA,NA,NA,NA,NA
1540853496675,1486414061,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,3,1,java.lang.String,F : is performing operation 3(comma) available Semaphore permits : 2
1540853496675,1486414061,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853496675,1013976738,call,NA,NA,void,java.lang.Thread.sleep,3,1,java.lang.Long,1000
1540853495676,65120857,return,NA,0,NA,NA,NA,NA,NA,NA
1540853496677,2047763238,call,NA,NA,void,java.lang.System.out,3,0,NA,NA
1540853496677,2047763238,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853496677,814244130,call,Thread[Thread-3(comma)5(comma)main],854731685,void,SemaphoreTest$MyATMThread.name,3,0,NA,NA
1540853496677,814244130,return,D,854731685,NA,NA,NA,NA,NA,NA
1540853496677,1913083700,call,NA,NA,class java.lang.String,java.lang.String.valueOf,3,1,java.lang.String,D
1540853496677,1913083700,return,D,0,NA,NA,NA,NA,NA,NA
1540853496677,2092603471,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,3,1,java.lang.String,D
1540853496677,2092603471,return,D,0,NA,NA,NA,NA,NA,NA
1540853496677,1973732269,call,D,106310986,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String, : is performing operation 
1540853496677,1973732269,return,D : is performing operation ,106310986,NA,NA,NA,NA,NA,NA
1540853496677,1310749763,call,D : is performing operation ,106310986,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,3
1540853496677,1310749763,return,D : is performing operation 3,106310986,NA,NA,NA,NA,NA,NA
1540853496677,1718674728,call,D : is performing operation 3,106310986,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String,(comma) available Semaphore permits : 
1540853496677,1718674728,return,D : is performing operation 3(comma) available Semaphore permits : ,106310986,NA,NA,NA,NA,NA,NA
